name,versionString,manager
phpunit/phpunit,^7.4,Composer
squizlabs/php_codesniffer,^3.3,Composer
gabordemooij/redbean,^5.0,Composer
google/apiclient,^2.2,Composer
guzzlehttp/guzzle,^6.3,Composer
ircmaxell/random-lib,^1.2,Composer
mandrill/mandrill,1.0.*,Composer
nategood/httpful,^0.2.20,Composer
php,>=7.1,Composer
vlucas/phpdotenv,^2.4,Composer
axios-mock-adapter,^1.16.0,NPM
babel-c,^0.2.0,NPM
babel-cli,^6.26.0,NPM
babel-eslint,^8.2.3,NPM
babel-plugin-external-helpers,^6.22.0,NPM
babel-plugin-transform-builtin-extend,^1.1.2,NPM
babel-polyfill,^6.26.0,NPM
babel-preset-airbnb,^2.4.0,NPM
babel-preset-env,^1.7.0,NPM
babel-preset-es2015,^6.24.1,NPM
babel-preset-stage-2,^6.24.1,NPM
cross-env,^5.1.6,NPM
eslint,^4.19.1,NPM
eslint-config-airbnb,^16.1.0,NPM
eslint-config-prettier,^2.9.0,NPM
eslint-plugin-import,^2.16.0,NPM
eslint-plugin-jsx-a11y,^6.2.1,NPM
eslint-plugin-react,^7.12.4,NPM
fast-async,^6.3.7,NPM
http-server,^0.11.1,NPM
jest,^23.6,NPM
jest-canvas-mock,^2.0.0-beta.1,NPM
nodent-runtime,^3.2.1,NPM
prettier-eslint,^8.8.0,NPM
rimraf,^2.6.3,NPM
rollup,^0.56.1,NPM
rollup-plugin-babel,^3.0.4,NPM
rollup-plugin-commonjs,^8.3.0,NPM
rollup-plugin-json,^2.3.1,NPM
rollup-plugin-node-globals,^1.2.1,NPM
rollup-plugin-node-resolve,^3.3.0,NPM
rollup-plugin-replace,^2.2.0,NPM
rollup-plugin-uglify,^3.0.0,NPM
axios,^0.19.0,NPM
card-validator,^6.2.0,NPM
fingerprintjs2,^2.0.6,NPM
form-urlencoded,^2.0.9,NPM
is-mobile,^0.2.2,NPM
jsencrypt,^3.0.0-rc.1,NPM
qs,^6.7.0,NPM
@kazupon/vue-i18n-loader,^0.3.0,NPM
autoprefixer,~7.2.6,NPM
axios,~0.18.0,NPM
babel-core,~6.26.3,NPM
babel-eslint,~8.2.6,NPM
babel-helper-vue-jsx-merge-props,~2.0.3,NPM
babel-jest,~21.0.2,NPM
babel-loader,~7.1.5,NPM
babel-plugin-component,~1.1.1,NPM
babel-plugin-dynamic-import-node,~1.2.0,NPM
babel-plugin-syntax-jsx,~6.18.0,NPM
babel-plugin-transform-es2015-modules-commonjs,~6.26.2,NPM
babel-plugin-transform-runtime,~6.22.0,NPM
babel-plugin-transform-vue-jsx,~3.7.0,NPM
babel-polyfill,~6.26.0,NPM
babel-preset-env,~1.7.0,NPM
babel-preset-stage-2,~6.22.0,NPM
babel-register,~6.22.0,NPM
chalk,^2.4.2,NPM
chromedriver,~2.42.1,NPM
common-tags,~1.8.0,NPM
copy-webpack-plugin,~4.5.3,NPM
cross-spawn,~5.0.1,NPM
css-loader,~0.28.11,NPM
cypress,^3.2.0,NPM
eslint,~4.19.1,NPM
eslint-config-airbnb-base,~11.3.0,NPM
eslint-friendly-formatter,~3.0.0,NPM
eslint-import-resolver-webpack,~0.8.3,NPM
eslint-loader,^2.1.2,NPM
eslint-plugin-import,~2.14.0,NPM
eslint-plugin-vue,~4.7.1,NPM
extract-text-webpack-plugin,~4.0.0-beta.0,NPM
file-loader,~1.1.11,NPM
friendly-errors-webpack-plugin,~1.7.0,NPM
html-webpack-plugin,~3.2.0,NPM
husky,~0.14.3,NPM
jest,~22.4.4,NPM
jest-serializer-vue,~0.3.0,NPM
nightwatch,~0.9.21,NPM
node-notifier,~5.2.1,NPM
node-sass,~4.9.4,NPM
optimize-css-assets-webpack-plugin,~3.2.0,NPM
ora,~1.2.0,NPM
portfinder,^1.0.20,NPM
postcss-import,~11.1.0,NPM
postcss-loader,~2.1.6,NPM
postcss-url,~7.3.2,NPM
